Frame,Time,Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major
461,0.461,60.1,7.1,-2.6,9.3
462,0.462,63.7,-9.8,-0.0,4.5
463,0.463,60.3,-3.1,2.4,3.8
464,0.464,57.3,-1.0,-0.8,2.1
465,0.465,37.8,-6.7,-2.9,3.5
466,0.466,20.1,-5.0,-5.5,2.1
467,0.467,4.1,-3.6,-7.3,4.7
468,0.468,-2.2,-2.3,-5.3,7.1
469,0.469,-19.3,-3.6,-1.3,1.9
470,0.470,-26.2,-7.1,-6.7,6.9
471,0.471,-32.4,-10.3,-1.7,3.5
472,0.472,-30.6,-5.6,4.1,0.5
473,0.473,-18.6,-6.5,0.0,1.9
474,0.474,-1.3,-7.3,-8.1,-3.6
475,0.475,1.0,-15.4,-15.5,-7.2
476,0.476,7.2,-22.9,-14.6,-0.0
477,0.477,12.9,-20.0,-1.4,0.9
478,0.478,14.5,-21.0,15.6,-1.8
479,0.479,16.0,-13.8,-0.5,3.8
480,0.480,9.0,-7.2,1.5,1.6
481,0.481,-10.6,-15.2,-0.3,1.0
482,0.482,-18.9,-5.7,8.2,2.8
483,0.483,-16.5,3.2,6.7,3.3
484,0.484,-9.7,4.3,5.3,4.8
485,0.485,-20.2,3.2,6.6,6.1
486,0.486,-18.4,9.8,7.8,6.6
487,0.487,-9.9,21.3,10.9,7.0
488,0.488,-2.1,22.7,6.1,8.1
489,0.489,-3.4,26.9,1.8,3.7
490,0.490,5.7,35.9,-2.2,0.5
491,0.491,16.3,30.0,2.9,1.2
492,0.492,9.3,20.4,4.9,-0.2
493,0.493,2.8,8.6,7.9,4.5
494,0.494,-0.6,10.1,16.1,4.1
495,0.495,2.6,3.0,8.0,5.8
496,0.496,3.7,1.7,-3.6,9.4
497,0.497,-5.9,-6.5,16.9,7.5
498,0.498,-12.2,-16.2,19.8,4.0
499,0.499,-13.2,-9.7,12.3,5.7
500,0.500,-24.8,-1.6,10.2,7.2
501,0.501,-20.1,5.8,8.3,5.5
502,0.502,-13.0,12.5,17.9,6.1
503,0.503,6.5,9.9,9.4,4.0
504,0.504,9.3,7.4,1.8,1.0
505,0.505,6.8,5.3,-16.6,1.7
506,0.506,4.6,0.7,-19.0,-1.7
507,0.507,10.8,-4.7,-30.3,-6.8
508,0.508,5.2,-8.3,1.2,-11.6
509,0.509,-3.3,-8.9,14.8,-1.4
510,0.510,-4.7,-11.9,-5.5,3.1
511,0.511,-11.7,-4.8,-9.1,2.1
512,0.512,-13.0,-0.0,1.2,-3.4
513,0.513,-9.5,2.6,-1.7,-2.0
514,0.514,0.1,0.2,1.1,3.2
515,0.515,9.2,-4.9,-1.2,2.7
516,0.516,15.0,-5.6,1.2,3.8
517,0.517,20.2,1.0,-0.8,2.0
518,0.518,32.7,-3.4,1.2,0.4
519,0.519,41.2,-2.6,6.5,2.5
520,0.520,33.3,-7.6,5.1,0.2
521,0.521,20.4,-12.1,-10.4,4.0
522,0.522,8.3,-15.1,-8.2,-0.5
523,0.523,-2.7,-15.5,1.4,1.7
524,0.524,-9.8,-12.0,6.7,1.5
525,0.525,-21.5,-12.4,-4.0,4.5
526,0.526,-20.0,-6.2,3.2,4.3
527,0.527,-10.1,3.5,-0.6,6.8
528,0.528,-8.9,4.9,-3.9,9.1
529,0.529,-7.7,10.8,-6.9,5.4
530,0.530,-6.7,14.1,-11.6,-2.4
531,0.531,-5.7,11.3,-10.6,-7.9
532,0.532,0.5,7.0,-9.7,-8.7
533,0.533,-3.6,4.7,-11.7,-5.5
534,0.534,-4.3,-0.3,-5.7,-9.7
535,0.535,-1.1,0.5,-4.8,-7.0
536,0.536,1.9,1.1,-2.6,-1.7
537,0.537,-3.1,-6.9,0.8,5.7
538,0.538,-2.5,-3.3,-5.7,1.1
539,0.539,-3.1,2.1,-1.2,2.2
540,0.540,0.6,1.2,-0.4,-3.2
541,0.541,-7.0,9.2,-1.0,0.5
542,0.542,-14.4,8.2,0.9,-2.6
543,0.543,-17.3,9.2,-0.8,-0.7
544,0.544,-30.6,10.0,-2.3,-3.2
545,0.545,-68.3,12.9,-0.2,-6.3
546,0.546,-51.2,15.3,-5.7,-4.8
547,0.547,-16.7,13.1,-5.0,-1.6
548,0.548,-1.9,3.2,-10.9,-6.1
549,0.549,20.6,-3.8,1.1,-11.4
550,0.550,32.8,-10.3,-0.6,-13.6
551,0.551,36.5,-9.1,7.1,-11.7
552,0.552,39.9,-1.7,11.2,-8.7
553,0.553,49.0,-4.5,-0.5,-6.1
554,0.554,51.8,-10.6,4.0,1.3
555,0.555,44.3,-1.7,13.8,4.3
556,0.556,23.6,-7.6,15.0,-2.5
557,0.557,15.3,-2.2,11.5,0.0
558,0.558,2.8,-3.1,8.2,7.1
559,0.559,-4.0,-4.0,9.1,6.0
560,0.560,-6.1,6.5,4.6,-2.2
561,0.561,-4.2,13.6,-1.1,-12.0
562,0.562,0.9,7.1,-4.8,-18.7
563,0.563,-3.7,6.0,-6.8,-5.9
564,0.564,-2.4,2.9,2.1,9.4
565,0.565,1.5,-3.8,11.1,-5.4
566,0.566,5.0,-4.7,2.8,-7.5
567,0.567,-0.2,-7.1,-2.6,-9.5
568,0.568,-14.7,-6.3,-5.6,-1.9
569,0.569,-20.9,-5.7,-10.1,-3.6
570,0.570,-26.5,-6.2,-6.2,-7.7
571,0.571,-24.8,1.9,-4.1,-2.2
572,0.572,-20.1,-3.9,-8.8,-3.5
