Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major,
-12.4,-4.0,1.5,-3.2,
-7.6,-1.7,4.1,5.0,
2.2,-3.1,5.2,-4.0,
8.7,0.9,1.6,6.3,
7.5,4.6,-1.7,10.2,
-4.2,7.1,2.9,0.8,
-18.4,9.3,-3.4,-2.9,
-35.5,7.3,2.0,-2.2,
-42.3,1.8,-3.2,-3.4,
-31.9,-0.6,1.2,0.8,
-22.4,1.6,-0.7,2.9,
-48.3,3.5,-1.4,-6.8,
-44.6,1.7,3.9,-5.8,
-21.0,3.2,5.9,-2.5,
0.4,5.7,1.2,0.4,
36.7,10.6,6.5,3.1,
61.3,17.8,1.3,3.8,
47.8,16.8,0.6,4.4,
60.1,7.1,-2.6,9.3,
63.7,-9.8,-0.0,4.5,
60.3,-3.1,2.4,3.8,
57.3,-1.0,-0.8,2.1,
37.8,-6.7,-2.9,3.5,
20.1,-5.0,-5.5,2.1,
4.1,-3.6,-7.3,4.7,
-2.2,-2.3,-5.3,7.1,
-19.3,-3.6,-1.3,1.9,
-26.2,-7.1,-6.7,6.9,
-32.4,-10.3,-1.7,3.5,
-30.6,-5.6,4.1,0.5,
-18.6,-6.5,0.0,1.9,
-1.3,-7.3,-8.1,-3.6,
1.0,-15.4,-15.5,-7.2,
7.2,-22.9,-14.6,-0.0,
12.9,-20.0,-1.4,0.9,
14.5,-21.0,15.6,-1.8,
16.0,-13.8,-0.5,3.8,
9.0,-7.2,1.5,1.6,
-10.6,-15.2,-0.3,1.0,
-18.9,-5.7,8.2,2.8,
-16.5,3.2,6.7,3.3,
-9.7,4.3,5.3,4.8,
-20.2,3.2,6.6,6.1,
-18.4,9.8,7.8,6.6,
-9.9,21.3,10.9,7.0,
-2.1,22.7,6.1,8.1,
-3.4,26.9,1.8,3.7,
5.7,35.9,-2.2,0.5,
16.3,30.0,2.9,1.2,
9.3,20.4,4.9,-0.2,
2.8,8.6,7.9,4.5,
-0.6,10.1,16.1,4.1,
2.6,3.0,8.0,5.8,
3.7,1.7,-3.6,9.4,
-5.9,-6.5,16.9,7.5,
-12.2,-16.2,19.8,4.0,
-13.2,-9.7,12.3,5.7,
-24.8,-1.6,10.2,7.2,
-20.1,5.8,8.3,5.5,
-13.0,12.5,17.9,6.1,
6.5,9.9,9.4,4.0,
9.3,7.4,1.8,1.0,
6.8,5.3,-16.6,1.7,
4.6,0.7,-19.0,-1.7,
10.8,-4.7,-30.3,-6.8,
5.2,-8.3,1.2,-11.6,
-3.3,-8.9,14.8,-1.4,
-4.7,-11.9,-5.5,3.1,
-11.7,-4.8,-9.1,2.1,
-13.0,-0.0,1.2,-3.4,
-9.5,2.6,-1.7,-2.0,
0.1,0.2,1.1,3.2,
9.2,-4.9,-1.2,2.7,
15.0,-5.6,1.2,3.8,
20.2,1.0,-0.8,2.0,
32.7,-3.4,1.2,0.4,
41.2,-2.6,6.5,2.5,
33.3,-7.6,5.1,0.2,
20.4,-12.1,-10.4,4.0,
8.3,-15.1,-8.2,-0.5,
-2.7,-15.5,1.4,1.7,
-9.8,-12.0,6.7,1.5,
-21.5,-12.4,-4.0,4.5,
-20.0,-6.2,3.2,4.3,
-10.1,3.5,-0.6,6.8,
-8.9,4.9,-3.9,9.1,
-7.7,10.8,-6.9,5.4,
-6.7,14.1,-11.6,-2.4,
-5.7,11.3,-10.6,-7.9,
0.5,7.0,-9.7,-8.7,
-3.6,4.7,-11.7,-5.5,
-4.3,-0.3,-5.7,-9.7,
-1.1,0.5,-4.8,-7.0,
1.9,1.1,-2.6,-1.7,
-3.1,-6.9,0.8,5.7,
-2.5,-3.3,-5.7,1.1,
-3.1,2.1,-1.2,2.2,
0.6,1.2,-0.4,-3.2,
-7.0,9.2,-1.0,0.5,
-14.4,8.2,0.9,-2.6,
-17.3,9.2,-0.8,-0.7,
-30.6,10.0,-2.3,-3.2,
-68.3,12.9,-0.2,-6.3,
-51.2,15.3,-5.7,-4.8,
-16.7,13.1,-5.0,-1.6,
-1.9,3.2,-10.9,-6.1,
20.6,-3.8,1.1,-11.4,
32.8,-10.3,-0.6,-13.6,
36.5,-9.1,7.1,-11.7,
39.9,-1.7,11.2,-8.7,
49.0,-4.5,-0.5,-6.1,
51.8,-10.6,4.0,1.3,
44.3,-1.7,13.8,4.3,
23.6,-7.6,15.0,-2.5,
15.3,-2.2,11.5,0.0,
2.8,-3.1,8.2,7.1,
-4.0,-4.0,9.1,6.0,
-6.1,6.5,4.6,-2.2,
-4.2,13.6,-1.1,-12.0,
0.9,7.1,-4.8,-18.7,
-3.7,6.0,-6.8,-5.9,
-2.4,2.9,2.1,9.4,
1.5,-3.8,11.1,-5.4,
5.0,-4.7,2.8,-7.5,
-0.2,-7.1,-2.6,-9.5,
-14.7,-6.3,-5.6,-1.9,
-20.9,-5.7,-10.1,-3.6,
-26.5,-6.2,-6.2,-7.7,
-24.8,1.9,-4.1,-2.2,
-20.1,-3.9,-8.8,-3.5,
-10.2,-7.0,-9.5,-4.8,
-6.3,-6.1,-2.6,-4.3,
1.9,-3.4,-7.5,1.0,
-5.5,-15.5,-1.5,-3.0,
-14.2,-17.1,10.4,-6.7,
-10.6,-6.2,-8.8,0.7,
-11.6,-4.8,-1.4,5.7,
-4.7,-6.1,9.9,0.5,
6.8,-0.2,11.8,1.0,
11.5,-3.4,6.0,1.4,
10.1,3.4,0.7,3.1,
16.6,4.3,-4.1,12.6,
10.7,9.9,-2.9,8.0,
13.8,9.1,-6.9,6.3,
24.4,11.0,-10.5,0.1,
45.7,8.0,-13.8,-5.6,
24.2,13.9,-7.2,-6.9,
10.3,16.3,-1.2,-6.4,
-7.3,21.3,-3.8,-1.2,
-9.6,18.0,-0.3,9.3,
-28.4,12.5,-10.4,1.2,
-15.8,5.9,5.1,-3.4,
-4.3,5.0,-5.5,10.6,
-2.3,-3.9,3.8,12.0,
-7.9,-21.6,12.2,6.6,
-6.2,-29.2,13.6,4.7,
-4.6,-17.8,12.1,0.2,
-5.9,-11.7,2.8,3.7,
0.7,-13.6,3.8,4.5,
-0.4,-8.6,2.6,7.3,
-1.4,-7.2,-0.5,8.0,
-2.3,-8.6,3.8,8.6,
0.4,-12.6,6.0,4.4,
-2.0,-6.8,-0.8,7.7,
-1.4,-1.5,-1.9,6.9,
-4.7,5.2,-4.5,4.9,
-2.9,11.3,1.9,-1.3,
-1.4,8.8,-8.0,7.3,
0.1,12.4,-17.3,3.7,
0.5,6.4,-16.4,2.4,
0.9,10.3,-4.9,-2.6,
-2.5,6.6,-6.7,-7.2,
-3.8,0.6,-5.5,4.7,
-7.5,-5.1,6.0,-4.1,
-5.0,-4.4,-5.2,0.4,
-0.2,0.1,4.5,-1.1,
1.7,1.9,-2.2,5.3,
-3.8,2.3,3.5,-0.7,
-1.7,-0.2,6.4,2.3,
-2.4,5.5,9.2,9.0,
-11.5,4.7,4.6,1.0,
-28.4,2.4,3.6,6.2,
-26.2,0.5,11.5,3.3,
-28.3,3.4,1.8,4.1,
-18.9,-0.3,0.4,-1.5,
